index,reviewid,artist,title,score,author
973,10869,various artists,big change songs for finca,4.4,stephen m. deusner
980,18450,wolfgang voigt,zukunft ohne menschen,4.4,andrew gaerig
992,1424,cherry valence,riffin,4.4,brian james
999,161,american heritage,through the age of quarrel and into the era of putting up with it,4.4,brendan reid
1016,1927,various artists,everything is nice,4.4,ryan schreiber
1042,2887,eyes adrift,eyes adrift,4.3,brendan reid
1057,221,apes of wrath,apes of wrath,4.3,brad haywood
1092,8787,c rayz walz,year of the beast,4.2,tom breihan
1095,14571,jeezy,1000 grams vol 1,4.2,tom breihan
1102,7711,sa smash,smashy trashy,4.2,rollie pemberton
1108,1971,various artists,whatever the 90s box set,4.2,nitsuh abebe
1109,16423,camron vado mckenzie eddy,blu tops,4.2,jayson greene
1128,6525,dudley perkins,a lil light,4.1,nicholas b. sylvester
1141,1340,the cassettes,the cassettes,4.1,brian james
1144,3554,a grape dope,missing dragons,4.1,andrew bryant
1146,5214,melochrome,stay a little longer,4.1,john dark
1147,9201,the ohsees,the cool death of island raiders,4.1,cory d. byrom
1148,12687,ryan adams,extra cheese,4.1,stephen m. deusner
1166,11686,radiohead,the best of,4.0,scott plagenhoef
1167,12037,the childballads,cheekbone hollows,4.0,joshua klein
1169,4636,ladytron,extended play,4.0,nitsuh abebe
1194,11073,gd,the message uni versa,4.0,ryan dombal
1204,10968,pink floyd,oh by the way,4.0,nate patrin
1220,374,dan the automator,wanna buy a monkey,4.0,rob mitchum
1223,18343,clap your hands say yeah,little moments,4.0,ian cohen
1232,12353,the mighty underdogs,droppin science fiction,4.0,nate patrin
1234,872,mark borthwick trevor holland,helene,4.0,brad haywood
1238,12428,stereo image,stereo image,4.0,jason crock
1239,16645,talwst,alien tentacle sex,4.0,andrew ryce
1265,1613,cost,chimera,3.9,brendan reid
1275,4080,immortal lee county killers,love is a charm of powerful trouble,3.9,andy beta
1289,2683,edison woods,edison woods,3.9,rob mitchum
1291,9104,rose melberg,cast away the clouds,3.9,marc hogan
1312,2558,vladislav delay,demo tracks,3.8,nick sylvester
1315,8359,unklesounds,edit music for a film original motion picture soundtrack reconstruction,3.8,ryan dombal
1319,4417,kid loco,jesus life for children under 12 inches,3.8,paul cooper
1321,10769,matt valentine and erika elder,gettin gone,3.8,grayson currin
1322,6405,iggy and the stooges,wild love the detroit rehearsals and more,3.8,brad haywood
1327,16384,curreny,muscle car chronicles,3.8,jordan sargent
1333,16171,bebetune,inhale c 4,3.8,brandon soderberg
1339,10049,rosie thomas,these friends of mine,3.8,liz colville
