reviewid,electronic,experimental,folk/country,global,jazz,metal,pop/r&b,rap,rock,unknown
157,0,0,0,0,0,0,0,0,1,0
159,0,0,0,0,0,0,0,0,1,0
161,0,0,0,0,0,1,0,0,0,0
164,0,0,0,0,0,1,0,0,1,0
167,0,1,0,0,0,0,0,0,1,0
168,0,1,0,0,0,0,0,0,1,0
171,1,0,0,0,0,0,0,0,0,0
173,0,1,0,0,0,0,0,0,1,0
174,0,1,0,0,0,0,0,0,1,0
176,0,0,0,0,0,1,0,0,1,0
177,0,0,0,0,0,1,0,0,0,0
178,0,0,0,0,0,0,0,0,1,0
179,0,0,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,0,0,1,0
182,0,0,0,0,0,0,0,0,1,0
183,0,0,0,0,0,0,0,0,0,1
184,0,0,0,0,0,0,0,0,1,0
185,0,0,0,1,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,1
187,0,0,0,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0,0,0,1
189,0,1,0,0,0,0,0,0,1,0
190,0,1,0,0,0,0,0,0,1,0
191,0,1,0,0,0,0,0,0,1,0
192,0,1,0,0,0,0,0,0,1,0
193,0,1,0,0,0,0,0,0,1,0
197,0,0,1,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,1,0
199,0,0,0,0,0,0,0,0,1,0
200,0,0,1,0,0,0,0,0,0,0
201,0,0,1,0,0,0,0,0,0,0
202,0,0,1,0,0,0,0,0,0,0
203,0,0,1,0,0,0,0,0,0,0
204,0,0,1,0,0,0,0,0,0,0
205,0,0,1,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,1,0,0
209,1,0,0,0,0,0,0,1,0,0
210,1,0,0,0,0,0,0,1,0,0
211,1,0,0,0,0,0,0,1,0,0
212,0,0,0,1,0,0,1,0,0,0
213,0,0,0,1,0,0,1,0,0,0
214,0,0,0,1,0,0,1,0,0,0
215,0,0,0,0,0,0,0,1,0,0
217,0,0,0,0,0,0,0,0,1,0
218,0,0,0,0,0,0,0,0,1,0
219,0,0,0,0,0,0,0,0,1,0
220,0,0,0,0,0,0,0,0,1,0
221,1,0,0,0,0,0,0,0,1,0
223,1,0,0,0,0,0,0,0,0,0
225,1,0,0,0,0,0,0,0,0,0
227,1,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,0
240,1,0,0,0,0,0,0,0,0,0
244,0,0,1,0,0,0,0,0,0,0
245,0,0,1,0,0,0,0,0,0,0
