reviewid,artist,title,score,author
19981,bryan ferry,avonmore,6.7,t. cole rachel
19989,jesse ruins,heartless,7.0,patrick st. michel
19919,nathan bowles,nansemond,7.2,marc masters
19979,slim twig,a hound at the hem,7.7,vish khanna
19936,ariel pink,pom pom,8.8,jeff weiss
19909,various artists,the hunger games: mockingjay - part 1 ost,7.8,corban goble
20007,daniel lanois,flesh and machine,7.7,stephen m. deusner
20009,tindersticks,ypres,6.8,nick neyland
19992,dan bodan,soft,6.2,jamieson cox
20013,tv on the radio,seeds,7.2,eric harvey
20012,dean blunt,black metal,7.3,colin joyce
19996,iamamiwhoami,blue,6.1,sasha geffen
19943,various artists,cut copy presents: oceans apart,7.8,tim finney
19711,atriarch,an unending pathway,7.6,grayson haver currin
19999,ryksopp,the inevitable end,5.9,marc hogan
19717,bedhead,bedhead: 1992-1998,8.5,mark richardson
20002,mykki blanco,gay dog food,6.0,lawrence burney
19980,various artists,hyperdub 10.4,8.2,nate patrin
19990,mitski,bury me at makeout creek,7.7,ian cohen
20006,pink floyd,the endless river,5.7,stephen m. deusner
20008,various artists,next life,7.8,meaghan garvey
19866,hookworms,the hum,7.8,stuart berman
19741,ex cops,daggers,5.2,ian cohen
19978,2562,the new today,6.2,nate patrin
20005,parkay quarts,content nausea,7.7,mike powell
19923,captain beefheart,sun zoom spark: 1970 to 1972,8.8,andy beta
19867,cult of youth,final days,8.1,stuart berman
19977,les sins,michael,6.6,jamieson cox
19912,torn hawk,let's cry and do pushups at the same time,7.3,sam hockley-smith
19998,azealia banks,broke with expensive taste,8.0,craig jenkins
19954,antony and the johnsons,turning,7.3,grayson haver currin
19857,celestial shore,enter ghost,6.8,stuart berman
19812,2:54,the other i,5.3,ian cohen
19918,various artists,lost on the river: the new basement tapes,6.1,douglas wolk
19864,foo fighters,sonic highways,5.6,stuart berman
19922,jon hopkins,asleep versions ep,7.4,patric fallon
19971,museum of love,museum of love,7.7,andy beta
19865,dream police,hypnotized,6.2,stuart berman
19991,elisa ambrogio,the immoralist,7.3,grayson haver currin
19905,clark,clark,8.3,ryan dombal
19917,deerhoof,la isla bonita,7.6,sasha geffen
19963,dillon francis,"money sucks, friends rule",3.9,nate patrin
19883,mind fair,mind fair,7.0,philip sherburne
19882,ricardo donoso,a song for echo,7.5,philip sherburne
19932,mark kozelek,sings christmas carols,6.8,mark richardson
19885,the afghan whigs,gentlemen at 21,8.7,stephen m. deusner
19960,haerts,haerts,5.8,ian cohen
19773,cave,release,6.6,aaron leitko
19796,livity sound,livity sound remixes,7.4,andrew gaerig
19884,modest mouse,this is a long drive for someone with nothing to think about,8.5,brian howe
19952,ryan hemsworth,alone for the first time,6.0,jonah bromwich
19965,his name is alive,tecuciztecatl,7.6,t. cole rachel
19934,mono,the last dawn,5.7,jason heller
19904,richard dawson,nothing important,7.8,winston cook-wilson
19969,neil young,storytone,4.8,rob mitchum
19962,dj koze,reincarnations pt. 2,7.3,mike powell
19899,the fall,"live: uurop viii-xii places in sun & winter, son",4.6,nick neyland
19802,megafortress,believer,7.7,jason heller
19928,obliterations,poison everything,7.5,andy o'connor
19836,arca,xen,8.4,philip sherburne
19863,dirty beaches,stateless,7.6,stuart berman
19931,pianos become the teeth,keep you,7.3,ian cohen
19916,deptford goth,songs,6.8,sasha geffen
19835,a certain ratio,sextet,8.1,douglas wolk
19968,run the jewels,run the jewels 2,9.0,ian cohen
19688,mineral,the power of failing,8.5,brandon stosuy
19967,dej loaf,sell sole,7.5,meaghan garvey
19959,dope body,lifer,6.9,jason heller
19740,wrekmeister harmonies,then it all came down,7.5,grayson haver currin
19820,grouper,ruins,8.8,philip sherburne
19522,john coltrane,offering: live at temple university,8.5,mark richardson
19869,medicine,home everywhere,6.0,jason heller
19792,weyes blood,the innocents,7.7,stephen m. deusner
19872,oozing wound,earth suck,7.7,andy o'connor
19862,the flaming lips,with a little help from my fwends,5.5,stuart berman
19945,blut aus nord,memoria vetusta iii  saturnian poetry,8.2,andy o'connor
19822,black milk,if there's a hell below,7.3,clayton purdom
19964,elliphant,one more ep,5.5,eric torres
19764,bell gardens,slow dawns for lost conclusions,7.4,jason heller
19860,sleater-kinney,start together,9.2,jenn pelly
19939,t.i.,paperwork,7.0,jayson greene
19811,the twilight sad,nobody wants to be here and nobody wants to leave,5.8,ian cohen
19523,inter arma,the cavern ep,8.3,grayson haver currin
19763,pig destroyer,mass & volume ep,7.4,jason heller
19852,these new puritans,expanded (live at the barbican),6.4,ian cohen
19840,objekt,flatland,8.0,patric fallon
19887,bing & ruth,tomorrow was the golden age,8.1,larry fitzmaurice
19815,the budos band,burnt offering,7.3,jason heller
19757,field report,marigolden,5.3,stephen m. deusner
19946,scott walker + sunn o))),soused,7.4,grayson haver currin
19938,nude beach,77,6.9,jeremy gordon
19933,kiesza,sound of a woman,5.2,larry fitzmaurice
19914,horse feathers,so it is with us,7.4,stephen m. deusner
19749,menace ruine,venus armata,7.4,jason heller
19833,various artists,master mix: red hot + arthur russell,7.3,douglas wolk
19859,...and you will know us by the trail of dead,ix,7.2,stuart berman
19915,lewis,love ain't no mystery,6.6,marc masters
19759,the pop group,we are time,7.5,jason heller
19739,felicita,frenemies ep,7.7,philip sherburne
19913,jessie ware,tough love,7.3,jillian mapes
19861,thurston moore,the best day,7.1,stuart berman
19944,tops,picture you staring,7.0,patric fallon
19942,mark lanegan band,phantom radio,6.7,nick neyland
19897,a-wax,pullin' strings,7.6,david drake
19930,dj quik,the midnight life,8.2,jayson greene
19927,kevin morby,still life,7.9,paul thompson
19940,dntel,human voice,6.8,patric fallon
19825,the weather station,what am i going to do with everything i know,8.1,grayson haver currin
19700,melvins,hold it in,6.1,zoe camp
19890,jawbreaker,24 hour revenge therapy,9.1,brandon stosuy
19937,kindness,otherness,5.1,andrew gaerig
19782,kele,trick,6.0,larry fitzmaurice
19824,drexciya,neptune's lair,8.7,andy beta
19868,a winged victory for the sullen,atomos,7.3,brian howe
19871,pharmakon,bestial burden,8.4,larry fitzmaurice
19926,unwound,no energy,8.6,sam hockley-smith
19880,kevin drumm,trouble,7.8,philip sherburne
19758,allo darlin',we come from the same place,7.2,jamieson cox
19881,institute,salt ep,7.4,philip sherburne
19849,vince staples,hell can wait ep,8.5,craig jenkins
19832,boards of canada,hi scores ep,8.7,philip sherburne
19898,cut hands,festival of the dead,6.5,nick neyland
19925,kleerup,as if we never won,5.7,marc hogan
19701,meatbodies,meatbodies,7.5,evan minsker
19769,foxygen,...and star power,7.0,stuart berman
19924,stars,no one is lost,5.8,ian cohen
19851,dads,i'll be the tornado,7.5,ian cohen
19770,absolutely free,absolutely free,7.5,stuart berman
19903,xylouris white,goats,7.4,vish khanna
19891,ex hex,rips,8.4,aaron leitko
19673,vashti bunyan,heartleap,7.8,mark richardson
19879,marianne faithfull,give my love to london,8.0,stephen m. deusner
19929,kode9 & the spaceape,killing season ep,7.8,nate patrin
19902,single mothers,negative qualities,7.4,paul thompson
19806,iceage,plowing into the field of love,8.5,larry fitzmaurice
19813,sbtrkt,wonder where we land,5.5,nate patrin
19910,tinashe,aquarius,7.5,meaghan garvey
19848,sam amidon,lily-o,5.9,stephen m. deusner
19819,darkspace,dark space iii i,7.9,andy o'connor
19893,zola jesus,taiga,5.9,katherine st. asaph
19906,underworld,dubnobasswithmyheadman (20th anniversary remaster),9.2,nick neyland
19855,the vaselines,v for vaselines,7.3,stuart berman
19911,excepter,familiar,7.8,marc masters
19800,nocturnal poisoning,doomgrass,3.0,grayson haver currin
19762,caribou,our love,8.6,jamieson cox
19892,johnny marr,playland,4.6,jason heller
19821,steve gunn,way out weather,8.0,jeremy d. larson
19735,the rural alberta advantage,mended with gold,6.9,ian cohen
19738,inspiral carpets,inspiral carpets,4.2,jason heller
19875,flying lotus,you're dead!,8.3,nate patrin
19896,godflesh,a world lit only by fire,8.0,jason heller
19854,peaking lights,cosmic logic,6.5,stuart berman
19736,sun ra and his arkestra,in the orbit of ra,8.8,andy beta
19669,pissed jeans,shallow,7.8,jason heller
19900,prince,art official age,6.5,stephen m. deusner
19901,"birdman, young thug, rich homie quan",tha tour part 1,8.0,corban goble
19845,pc worship,social rust,7.8,jenn pelly
19895,luke james,luke james,7.7,david drake
19888,dj spoko,war god,7.1,andrew gaerig
19830,weezer,everything will be alright in the end,6.5,ian cohen
19772,fela kuti,vinyl box set 3,8.6,aaron leitko
19807,various artists,work,7.0,mike powell
19818,steve reich,radio rewrite,7.3,jayson greene
19878,milo,a toothpaste suburb,7.8,nate patrin
19894,thom yorke,tomorrow's modern boxes,6.3,larry fitzmaurice
19756,sea oleena,shallow,7.1,sasha geffen
19752,ymusic,balance problems,7.6,jeremy d. larson
19831,masters at work,house masters,7.8,douglas wolk
19622,electric wizard,time to die,7.9,kim kelly
19874,hudson mohawke,chimes ep,6.7,jamieson cox
19850,the drums,encyclopedia,5.9,ian cohen
19823,the aislers set,terrible things happen,7.8,jason heller
19737,"takako minekawa, dustin wong",savage imagination,6.6,nick neyland
19781,tove lo,queen of the clouds,7.2,carrie battan
19716,christopher owens,a new testament,6.7,mark richardson
19771,oasis,(what's the story) morning glory?,8.9,stuart berman
19809,nehruviandoom,nehruviandoom,5.6,nate patrin
19748,the history of apple pie,feel something,6.0,patrick st. michel
19660,alice gerrard,follow the music,7.4,jason heller
19684,the smashing pumpkins,adore,8.5,ian cohen
19847,s,cool choices,6.4,molly beauchemin
19616,z,visions of dune,7.7,philip sherburne
19828,joan shelley,electric ursa,7.9,grayson haver currin
19785,witch mountain,mobile of angels,7.6,jason heller
19856,julian casablancas + the voidz,tyranny,4.9,larry fitzmaurice
19870,mapei,hey hey,4.8,jamieson cox
19743,"freeway, the jacka",highway robbery,7.9,jayson greene
19858,tokimonsta,desiderium,6.4,eric torres
19846,lydia ainsworth,right from real,7.9,patric fallon
19853,leonard cohen,popular problems,7.6,mike powell
19844,bonnie prince billy,singer's grave a sea of tongues,6.9,joel oliphint
19827,yung lean,unknown memory,3.6,jonah bromwich
19659,laetitia sadier,something shines,6.7,jason heller
19789,arp,pulsars e quasars ep,6.7,brian howe
19798,perfume genius,too bright,8.5,brandon stosuy
19843,alt-j,this is all yours,4.0,ian cohen
19687,suicideyear,remembrance ep,7.3,mark richardson
19829,goat,commune,7.3,douglas wolk
19621,"mary lattimore, jeff zeigler",slant of light,7.5,grayson haver currin
19755,aphex twin,syro,8.7,mark richardson
19707,various artists,hyperdub 10.3,6.5,nate patrin
19810,king tuff,black moon spell,6.4,ian cohen
19658,whirr,sway,6.9,jason heller
19783,salt cathedral,oom velt ep,6.9,jayson greene
19842,shellac,dude incredible,8.0,nick neyland
19826,youth code,a place to stand ep,6.8,zoe camp
19808,myrkur,myrkur,5.9,grayson haver currin
19683,foxes in fiction,ontario gothic,6.3,ian cohen
19696,dan'l boone,dan'l boone,7.6,marc masters
19657,purling hiss,weirdon,7.5,jason heller
19619,this will destroy you,another language,7.2,brandon stosuy
19804,so cow,the long con,6.9,paul thompson
19747,los angeles police department,los angeles police department,7.5,jayson greene
19731,mecca normal,empathy for the evil,6.7,colin joyce
19682,tweedy,sukierae,7.3,stephen m. deusner
19734,call super,suzi ecto,7.7,philip sherburne
19732,anjou,anjou,6.8,colin joyce
19713,matthew shipp,i've been to many places,7.8,marc masters
19721,ides of gemini,old world new wave,6.0,kim kelly
19799,mr twin sister,mr twin sister,8.1,ian cohen
19817,moonface,city wrecker ep,6.8,jason heller
19814,royal blood,royal blood,5.6,stuart berman
19803,various artists,vibe 2,7.8,andy beta
19620,iron reagan,the tyranny of will,6.2,zoe camp
19778,ryan adams,ryan adams,6.0,stephen m. deusner
19797,my brightest diamond,this is my hand,7.0,eric torres
19710,vessel,"punish, honey",7.3,patric fallon
19714,shintaro sakamoto,let's dance raw,7.1,eric harvey
19761,hamish kilgour,all of it and nothing,6.4,jason heller
19816,u2,songs of innocence,4.6,rob mitchum
19656,simian mobile disco,whorl,6.5,larry fitzmaurice
19791,jhen aiko,souled out,6.5,craig jenkins
19670,the ukiah drag,in the reaper's quarters,7.2,jason heller
19680,krieg,transient,8.0,grayson haver currin
19801,death from above 1979,the physical world,7.0,jason heller
19788,tennis,ritual in repeat,7.0,jamieson cox
19720,ballet school,the dew lasts an hour,6.2,ian cohen
19730,lee gamble,koch,7.2,nick neyland
19733,jo johnson,weaving,7.7,philip sherburne
19794,karen o,crush songs,5.8,stephen m. deusner
19719,avi buffalo,at best cuckold,7.2,ian cohen
19754,sloan,commonwealth,6.9,jamieson cox
19725,wara from the nbhd,kidnapped,7.7,jayson greene
19702,various artists,tliltic tlapoyauak,6.6,kim kelly
19787,banks,goddess,5.0,andrew ryce
19681,hiss golden messenger,lateness of dancers,7.6,stephen m. deusner
19655,robert plant,lullaby and... the ceaseless roar,7.0,stuart berman
19780,tricky,adrian thaws,4.8,nick neyland
19726,aby ngana diop,liital,8.0,andy beta
19693,interpol,el pintor,5.9,larry fitzmaurice
19706,ital,endgame,6.5,nate patrin
19652,jennifer castle,pink city,7.9,stuart berman
19729,mazes,wooden aquarium,6.7,nick neyland
19793,shxcxchcxsh,linear s decoded,7.3,andrew gaerig
19777,earth,primitive and deadly,7.0,grayson haver currin
19786,jeezy,seen it all: the autobiography,6.0,ian cohen
19776,mutual benefit,cowboy's prayer ep,6.3,paul thompson
19766,zammuto,anchor,5.1,larry fitzmaurice
19618,roman flgel,happiness is happening,8.1,philip sherburne
19775,m83,m83,6.5,matt lemay
19774,ilovemakonnen,ilovemakonnen ep,8.0,jayson greene
19617,yob,clearing the path to ascend,8.2,zoe camp
19715,sinkane,mean love,7.2,larry fitzmaurice
19679,game theory,blaze of glory,7.2,jason heller
19760,blonde redhead,barragn,4.3,jason heller
19790,raury,indigo child,6.5,corban goble
19753,sinoia caves,beyond the black rainbow ost,8.1,stephen m. deusner
19703,helado negro,double youth,7.5,sasha geffen
19654,moon duo,live in ravenna,7.4,stuart berman
19767,the juan maclean,in a dream,7.4,andrew gaerig
19768,cassie ramone,the time has come,6.7,marc hogan
19653,half japanese,overjoyed,6.8,jason heller
19624,music blues,things haven't gone well,6.0,andy o'connor
19629,mono/poly,golden skies,7.3,nate patrin
19765,ariana grande,my everything,7.7,meaghan garvey
19723,cymbals eat guitars,lose,8.2,ian cohen
19745,mick jenkins,the water(s),7.8,david drake
19709,dj mustard,10 summers,7.7,jordan sargent
19751,wiz khalifa,blacc hollywood,5.6,craig jenkins
19663,merchandise,after the end,7.0,stuart berman
19532,j mascis,tied to a star,6.4,stephen deusner
19520,opeth,pale communion,4.3,grayson haver currin
19615,bitchin bajas,bitchin bajas,7.5,marc masters
19724,twerps,underlay ep,7.4,evan minsker
19610,rustie,green language,7.2,philip sherburne
19746,basement jaxx,junto,6.5,nate patrin
19572,the wytches,annabel dream reader,5.8,jason heller
19614,dark sky,imagin,5.9,patric fallon
19651,il sogno del marinaio,canto secondo,6.5,jason heller
19668,ty segall,manipulator,7.8,stuart berman
19742,the bug,angels & devils,6.7,andrew gaerig
19521,cold specks,neuroplasticity,7.4,stuart berman
19573,robyn hitchcock,the man upstairs,6.3,jason heller
19613,marcel dettmann,fabric 77,7.1,philip sherburne
19722,the new pornographers,brill bruisers,7.7,stuart berman
19718,jason feathers,de oro,3.5,mike powell
19691,connections,into sixes,6.8,evan minsker
19650,wand,ganglion reef,7.4,jason heller
19591,alraune,the process of self-immolation,7.5,kim kelly
19602,jj,v,6.7,brandon stosuy
19674,"susanna, jenny hval",meshes of voice,8.2,grayson haver currin
19512,the young,chrome cactus,3.5,ian cohen
19695,literature,chorus,7.1,jeremy gordon
19556,castanets,decimation blues,5.9,grayson haver currin
19712,sinad o'connor,"i'm not bossy, i'm the boss",7.3,stephen m. deusner
19647,willis earl beal,experiments in time,5.0,stuart berman
19571,wire,document and eyewitness,6.0,jason heller
19635,kimbra,the golden echo,4.3,jake cleland
19678,black rain,dark pool,7.5,andy beta
19596,the rentals,lost in alphaville,6.9,stuart berman
19585,the gaslight anthem,get hurt,3.0,ian cohen
19648,coachwhips,get yer body next ta mine,8.0,jason heller
19630,fat white family,champagne holocaust,6.6,nick neyland
19531,tashi dorji,tashi dorji,7.1,marc masters
19570,pallbearer,foundations of burden,8.6,brandon stosuy
19611,faltydl,in the wild,7.0,philip sherburne
19584,childhood,lacuna,6.1,ian cohen
19698,b l a c k i e,imagine yourself in a free and natural world,7.3,lawrence burney
19518,mirel wagner,when the cellar children see the light of day,7.2,stephen deusner
19590,fka twigs,lp1,8.8,philip sherburne
19517,porter robinson,worlds,6.9,larry fitzmaurice
19597,moir,shelter,7.6,patric fallon
19708,operators,ep1,6.8,jamieson cox
19662,zeitkratzer,metal machine music,7.6,mark richardson
19694,kenny dope,wild style breakbeats,8.4,nate patrin
19598,electric wrms,"musik, die schwer zu twerk",6.5,stuart berman
19705,partynextdoor,partynextdoor two,6.8,renato pagnani
19690,lil silva,mabel ep,5.1,larry fitzmaurice
19519,coliseum,coliseum,7.8,jason heller
19677,nachtmystium,the world we left behind,3.9,grayson haver currin
19699,mozarts sister,being,6.4,katherine st. asaph
19645,king louie,tony,7.9,david drake
19646,desertshore,migrations of glass,7.2,jason heller
19628,martyrdd,elddop,7.8,grayson haver currin
19554,naomi punk,television man,7.9,mike powell
19704,the rosebuds,sand + silence,5.1,stephen m. deusner
19515,twin peaks,wild onion,6.9,jayson greene
19555,adult jazz,gist is,7.4,winston cook-wilson
19588,abysmal lord,storms of unholy black mass,6.0,kim kelly
19582,bear in heaven,time is over one day old,5.9,ian cohen
19633,spider bags,frozen letter,6.2,jeremy d. larson
19516,the #1s,the number ones,7.9,jason heller
19661,hideki kaji,ice cream man,6.5,patrick st. michel
19583,dama/libra,claw,7.1,joel oliphint
19514,spoon,they want my soul,8.6,ryan dombal
19568,david kilgour and the heavy eights,end times undone,6.9,jason heller
19529,geoffrey o'connor,fan fiction,7.4,jake cleland
19530,apache dropout,heavy window,7.2,marc masters
19627,various artists,music from the mountain provinces,7.1,nick neyland
19697,lewis,romantic times,8.1,stephen m. deusner
19637,wolfgang voigt,ruckverzauberung 9 / musik fr kulturinstitutionen,7.8,larry fitzmaurice
19581,dikembe,mediumship,6.6,ian cohen
19671,stardeath and white dwarfs,wastoid,5.7,evan minsker
19642,various artists,late night tales presents after dark: nightshift,7.4,andy beta
19686,jenny lewis,the voyager,7.2,stephen m. deusner
19546,hanssen,seven years week,7.0,jamieson cox
19606,puce mary,persona,6.7,colin joyce
19559,lawrence english,wilderness of mirrors,7.5,brian howe
19586,novembers doom,bled white,6.8,kim kelly
19667,various artists,beck song reader,4.5,mike powell
19689,the raveonettes,pe'ahi,6.3,jamieson cox
19676,default genders,magical pessimism 2014,5.6,ian cohen
19632,actual water,call 4 fun,7.4,jeremy d. larson
19626,zackey force funk,money green viper,6.6,nate patrin
19685,the unicorns,who will cut our hair when we're gone?,8.9,stuart berman
19643,11:11,11:11,4.9,philip sherburne
19528,naomi shelton & the gospel queens,cold world,7.3,stephen deusner
19513,jim-e stack,tell me i belong,6.5,jonah bromwich
19509,mutilation rites,harbinger,7.5,zoe camp
19631,shabazz palaces,lese majesty,8.2,craig jenkins
19510,hooray for earth,racy,6.4,ian cohen
19511,the muffs,whoop dee doo,7.5,douglas wolk
19567,ultramantis black,ultramantis black,7.4,jason heller
19549,gene the southern child,southern meridian,7.0,jonah bromwich
19675,"jeremih, shlohmo",no more ep,6.1,meaghan garvey
19608,common,nobody's smiling,7.7,david drake
19566,the black angels,clear lake forest,6.6,jason heller
19595,the acid,liminal,6.7,stuart berman
19542,drcarlsonalbion,gold,7.2,grayson haver currin
19604,various artists,country funk volume ii 1967-1974,7.6,stephen m. deusner
19666,tessela,rough 2 ep,6.8,mike powell
19545,white fence,for the recently found innocent,7.0,aaron leitko
19594,melted toys,melted toys,6.3,stuart berman
19605,daniel bachman,orange co. serenade,6.8,colin joyce
19665,la roux,trouble in paradise,6.5,mike powell
19640,the amazing snakeheads,amphetamine ballads,6.4,nick neyland
19506,freeman,freeman,6.5,eric harvey
19561,landlady,upright behavior,7.4,jayson greene
19505,luluc,passerby,4.9,stephen deusner
19625,various artists,wish i was here ost,2.0,larry fitzmaurice
19580,ps i love you,for those who stay,6.3,ian cohen
19504,anna calvi,strange weather ep,6.3,stephen deusner
19543,james blackshaw,fantmas: le faux magistrat,6.6,grayson haver currin
19607,goatwhore,constricting rage of the merciless,7.0,zoe camp
19639,various artists,hyperdub 10.2,6.7,andrew gaerig
19508,alvvays,alvvays,7.6,stuart berman
19507,joyce manor,never hungover again,7.8,ian cohen
19609,liam betson,the cover of hunter,7.3,sasha geffen
19500,trepaneringsritualen,perfection & permanence,6.6,kim kelly
19664,araabmuzik,for professional use only vol. 2,6.4,nate patrin
19644,anand wilder,break line the musical,3.8,larry fitzmaurice
19589,honeyblood,honeyblood,6.8,katherine st. asaph
19641,mr. dream,ultimate in luxury,6.1,jason heller
19492,wreck and reference,want,7.7,andy o'connor
19526,cocteau twins,blue bell knoll,8.3,stephen deusner
19601,seven davis jr.,friends ep,7.9,andy beta
19576,"rioux, stephon alexander",here comes now,7.2,jonah bromwich
19527,united waters,sunburner,7.7,marc masters
19623,beatking,gangsta stripper music 2,7.5,david drake
19638,united nations,the next four years,8.1,jayson greene
19562,dj dodger stadium,friend of mine,8.0,jonah bromwich
19544,woman's hour,conversations,6.3,jamieson cox
19560,sons of magdalene,move to pain,6.0,brian howe
19476,peter murphy,lion,7.5,miles raymer
19603,morrissey,world peace is none of your business,5.9,marc hogan
19600,jungle,jungle,6.2,andy beta
19553,slow club,complete surrender,7.6,jamieson cox
19488,matthewdavid,in my world,5.4,larry fitzmaurice
19503,reigning sound,shattered,7.7,jason heller
19634,the-dream,royalty: the prequel ep,7.1,meaghan garvey
19612,mellowhype,insa,6.6,jonah bromwich
19501,matt kivel,days of being wild,7.6,jayson greene
19575,tonstartssbandht,overseas,8.0,evan minsker
19442,"steve gunn, mike cooper",cantos de lisboa,7.2,grayson haver currin
19497,wolves in the throne room,celestite,4.7,grayson haver currin
19479,g-eazy,these things happen,6.1,david drake
19498,cold beat,over me,7.6,paula mejia
19593,spazzkid,promise ep,7.4,patrick st. michel
19578,late bloomer,things change,7.0,ian cohen
19599,herbert,part 6 ep,6.7,nick neyland
19547,babe rainbow,falling apart,6.5,jonah bromwich
19440,black anvil,hail death,7.5,zoe camp
19538,sighs,easy to forget ep,7.0,jayson greene
19463,will saul,dj-kicks,6.1,larry fitzmaurice
19502,braid,no coast,7.7,ian cohen
19592,kyary pamyu pamyu,pika pika fantajin,6.7,patrick st. michel
19550,the proper ornaments,wooden head,7.0,marc hogan
19496,the skygreen leopards,family crimes,7.2,jason heller
19493,various artists,calypso: musical poetry in the caribbean 1955-69,6.3,mike powell
19495,viet cong,"""cassette"" ep",7.8,nick neyland
19557,kasai allstars,beware the fetish,7.2,joe tangari
19499,fhloston paradigm,the phoenix,6.7,abby garnett
19579,what moon things,what moon things,7.3,ian cohen
19524,nonono,we are only what we feel,5.8,sasha geffen
19539,"brian eno, karl hyde",high life,8.5,mark richardson
19482,godflesh,decline and fall ep,7.9,zoe camp
19577,various artists,brothers & sisters,7.9,andy beta
19569,the vacant lots,departure,5.2,evan minsker
19393,serpentine path,emanations,7.7,grayson haver currin
19487,mark kozelek,live at biko,7.8,stuart berman
19540,beverly,careers,6.4,jamieson cox
19535,luke abbott,wysing forest,6.7,andrew gaerig
19541,ooioo,gamel,7.2,aaron leitko
19525,motion sickness of time travel,alpha piscium,7.8,colin joyce
19574,caustic window,caustic window lp,8.1,mark richardson
19475,plastikman,ex,6.5,andy beta
19551,cabaret voltaire,#7885 (electropunk to technopop 1978-1985),7.8,nick neyland
19485,eaters,eaters,6.4,mike powell
19490,dalhous,will to be well?,7.5,colin joyce
19484,riff raff,neon icon,5.4,david drake
19441,circulatory system,mosaics within mosaics,7.9,paul thompson
19483,mike cooper,trout steel,8.6,jayson greene
19565,trap them,blissfucker,7.3,jason heller
19548,old 97's,most messed up,6.4,stephen deusner
19481,ab-soul,these days...,7.7,jayson greene
19438,total control,typical system,8.0,jenn pelly
19434,craig leon,anthology of interplanetary folk music vol. 1: nommos/visiting,8.4,lindsay zoladz
19537,white reaper,white reaper ep,6.6,paul thompson
19558,ulises conti,the greeks believed that the stars were small holes where the gods listened to men,7.5,brian howe
19471,mastodon,once more 'round the sun,6.3,zoe camp
19443,black bananas,electric brick wall,7.7,miles raymer
19455,alexis taylor,await barbarians,5.9,larry fitzmaurice
19470,peter matthew bauer,liberation!,7.2,jeremy d. larson
19381,eyehategod,eyehategod,8.0,kim kelly
19478,a sunny day in glasgow,sea when absent,8.5,lindsay zoladz
19536,strand of oaks,heal,7.9,stephen m. deusner
19439,m. geddes gengras,ishi,7.6,miles raymer
19489,jobriath,as the river flows,7.5,stuart berman
19486,harassor,into unknown depths,7.4,kim kelly
19433,how to dress well,"""what is this heart?""",8.8,ian cohen
19301,lower,seek warmer climes,6.9,brandon stosuy
19469,various artists,horse meat disco volume iv,7.7,andy beta
19436,dan melchior und das menace,hunger,6.9,jason heller
19474,matteah baim,falling theater,7.6,matthew murphy
19465,the knife,shaken-up versions,7.3,katherine st. asaph
19454,the soft pink truth,why do the heathen rage?,8.2,grayson haver currin
19477,open mike eagle,dark comedy,8.0,nate patrin
19468,willie nelson,band of brothers,7.4,stephen m. deusner
19457,dead congregation,promulgation of the fall,7.9,kim kelly
19458,lone,reality testing,8.0,larry fitzmaurice
19450,sam smith,in the lonely hour,5.5,andrew ryce
19446,richard reed parry,music for heart and breath,8.0,jayson greene
19467,brian reitzell,auto music,6.5,nick neyland
19106,nightfell,the living ever mourn,7.5,andy o'connor
19453,the antlers,familiars,7.8,larry fitzmaurice
19466,mogwai,come on die young ,8.3,stuart berman
19473,devont hynes,palo alto: original motion picture score,5.5,ian cohen
19461,big freedia,just be free,7.8,miles raymer
19462,alex g,dsu,7.9,marc hogan
19460,white lung,deep fantasy,8.6,ian cohen
19300,boris,noise,7.8,zoe camp
19459,various artists,eccentric soul: capitol city soul,7.7,nate patrin
19452,the felice brothers,favorite waitress,5.6,stephen m. deusner
19451,donnie & joe emerson,still dreamin' wild: the lost recordings 1979-81,6.3,andy beta
19449,lana del rey,ultraviolence,7.1,mark richardson
19399,mariah carey,me. i am mariah...the elusive chanteuse,7.7,jordan sargent
19408,klaxons,love frequency,5.1,ian cohen
19456,martyn,the air between words,6.6,andrew gaerig
19370,yaitw,when life comes to death,5.5,kim kelly
19472,death grips,niggas on the moon,6.7,larry fitzmaurice
19409,julianna barwick,rosabi ep,7.6,mark richardson
19431,clipping.,clppng,5.6,miles raymer
19379,kyle bobby dunn,kyle bobby dunn and the infinite sadness,7.8,marc masters
19373,crowbar,symmetry in black,7.3,andy o'connor
19418,led zeppelin,led zeppelin,9.2,mark richardson
19342,first aid kit,stay gold,7.3,stephen m. deusner
19422,chris schlarb,making the saint,6.3,brian howe
19378,enabler,la fin absolue du monde,7.0,zoe camp
19364,stick against stone,the oregon bootleg tapes,7.3,miles raymer
19427,the fresh & onlys,house of spirits,7.0,aaron leitko
19432,tomas barfod,love me,7.1,jamieson cox
19444,the atlas moth,the old believer,6.7,grayson haver currin
19448,wife,what's between,6.0,colin joyce
19445,alice boman,ep ii (+ skisser),5.7,katherine st. asaph
19423,various artists,c86,9.2,jason heller
19426,popcaan,where we come from,8.0,miles raymer
19447,chrissie hynde,stockholm,5.8,t. cole rachel
19341,dub thompson,9 songs,6.7,stuart berman
19430,craft spells,nausea,5.8,ian cohen
19420,jack white,lazaretto,7.1,stephen m. deusner
19425,shamir,northtown ep,7.3,jamieson cox
19421,tombs,savage gold,8.3,grayson haver currin
19424,lust for youth,international,6.7,ian cohen
19360,watter,this world,7.0,nick neyland
19429,50 cent,animal ambition,4.9,ian cohen
