reviewid,artist,title,score,author
22614,gillian welch,boots no. 1: the official revival bootleg,7.9,jonathan bernstein
22622,jeff rosenstock,worry.,8.0,ian cohen
22636,kristin hersh,wyatt at the coyote palace,7.5,katherine st. asaph
22629,metallica,hardwired...to self-destruct,6.5,zoe camp
22534,porter ricks,shadow boat ep,8.0,philip sherburne
22565,mike watt,ring spiel tour 95,8.0,caryn rose
22395,daniel bachman,daniel bachman,7.3,marc masters
22592,autechre,incunabula,8.2,andy beta
22598,body/head,no waves,7.4,jes skolnik
22628,his name is alive,patterns of light,6.6,miles raymer
22624,radian,on dark silent off,8.0,saby reyes-kulkarni
22619,flasher,flasher ep,7.8,nina mashurova
22642,leonard cohen,im your man,9.5,dorian lynskey
22603,tinashe,nightride,7.8,rebecca haithcoat
22594,various artists,"the microcosm: visionary music of continental europe, 1970-1986",7.7,louis pattison
22630,papa m,highway songs,7.4,marc masters
22552,yaroze dream suite,yaroze dream suite,6.5,jonathan patrick
22625,thee oh sees,an odd entrances,6.7,evan rytlewski
22618,lorenzo senni,persona ep,7.5,andy beta
22602,marching church,telling it like it is,6.4,zoe camp
22621,devonwho,luz,6.5,benjamin scheim
22607,a tribe called quest,we got it from here... thank you 4 your service,9.0,kris ex
22611,sad13,slugger,7.4,quinn moreland
22616,j.g. biberkopf,ecologies ii: ecosystems of excess,6.3,louis pattison
22617,animals as leaders,the madness of many,6.4,sam sodomsky
22401,washington phillips,washington phillips and his manzarene dreams,8.5,mike powell
22394,dedekind cut,$uccessor (ded004),8.2,thea ballard
22457,michael mayer,&,7.7,philip sherburne
22501,mantra percussion,michael gordon: timber remixed,6.8,seth colter walls
22612,french montana,mc4,7.0,paul a. thompson
22525,hart valley drifters,folk time,7.8,jesse jarnow
22610,emeli sand,long live the angels,5.4,katherine st. asaph
22518,ken thomson,restless,7.9,seth colter walls
22527,philip glass,the complete sony recordings,8.6,seth colter walls
22623,bibi bourelly,free the real (pt. 2),6.8,katherine st. asaph
22563,loscil,monument builders,7.4,brian burlage
22505,peter stampfel,holiday for strings,7.9,jesse jarnow
22465,"okkyung lee, christian marclay",amalgam,8.0,seth colter walls
22506,minutemen,double nickels on the dime,9.5,marc masters
22581,various artists,bleed for this ost,6.0,kevin lozano
22519,the men,devil music,6.8,john s.w. macdonald
22608,oren ambarchi,hubris,7.5,nathan reese
22573,jacuzzi boys,ping pong,6.6,saby reyes-kulkarni
22609,hudson mohawke,ded sec - watch dogs 2 (ost),7.2,philip sherburne
22605,kool a.d.,have a nice dream,6.0,renato pagnani
22606,rachel's,systems/layers,8.5,benjamin scheim
22502,helmet,dead to the world,6.8,saby reyes kulkarni
22582,alicia keys,here,6.5,vanessa okoth-obbo
22604,topaz jones,arcade,7.2,matthew ramirez
22585,gaika,spaghetto,7.8,kevin lozano
22560,uniform,ghosthouse ,7.2,raymond cummings
22589,the chainsmokers,collage ,3.5,kevin lozano
22584,tyvek,origin of what,7.8,evan minsker
22392,tim buckley,"lady, give me your key: the unissued 1967 solo acoustic sessions",6.3,andy beta
22347,mary halvorson,away with you,8.0,seth colter walls
22571,sleigh bells,jessica rabbit,5.9,evan rytlewski
22586,jeezy,trap or die 3,6.0,evan rytlewski
22587,shirley collins,lodestar,8.0,louis pattison
22550,kadhja bonet,the visitor ,7.2,marcus k. dowling
22464,soft hair,soft hair,6.8,andy beta
22570,jim james,eternally even,7.9,ryan leas
22599,a$ap mob,cozy tapes vol. 1: friends-,7.1,matthew strauss
22558,lou barlow,apocalypse fetish,6.5,saby reyes-kulkarni
22415,mannequin pussy,romantic,7.6,raymond cummings
22600,abba,arrival,8.6,simon goddard
22566,fugees,blunted on reality,7.6,sheldon pearce
22520,"sun ra, merzbow",strange city (cd),7.3,marc masters
22574,oddcouple,liberation,7.2,jay balfour
